"会员","级别","评价星级","评价内容","时间","点赞数","评论数","追评时间","追评内容","商品属性","页面网址","页面标题","采集时间"
"h***4","PLUS会员","star5","用过一段时间又来评论的，不错，吸烟以后PM值迅速增长到200多，一段时间后烟味没有了，屋里突然也很清新。","2019-01-17 16:41","0","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:09.1631472"
"阿***8",,"star5","特意用了好多天，再来评价的，机器很好用，家里刚装修，用了这个，就没有什么味道了，而且声音小，就是静音的状态，好评好评。","2019-06-29 14:39","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:24.3741679"
"不***票","PLUS会员","star5","超级好评！比一代强了很多很多，值得购买！雷军给力，小米给力。配置非常方便，智能家居使用配置方面小米最好，其他的都是拉几例如某lifesmart的超级碗拉几的不行，某绿联的type-c转千兆网口号称可以在Mac上免驱结果渣的不行。总之就是小米最棒。","2018-06-09 00:13","1","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:24.4340091"
"jd_peng13622","PLUS会员","star5","非常漂亮，小米的做工越来越好，手机连接选择功能挺方便，用了一周出现过一次死机，看来系统稳定性需要进一步完善。空气检测比较灵敏，抽烟马上就会发现，开始工作。没有想象那么大，净化速度确实比2s要快。","2018-10-26 20:33","0","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:24.4908558"
"天***H",,"star5","好大好高，高大尚，很不错，空气明显改善很多，我本身就是米粉，希望除湿器也加快脚步上架，南方很潮湿，人工智能的时代，用着方便","2018-09-22 12:44","1","0",,,"小米净化器MAX                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:24.5437143"
"j***t","PLUS会员","star5","年会奖品采购的，小米大品牌，做工精美，外观时尚，高档大气上档次，就是后续跟换滤芯费用挺高的。","2019-02-13 22:02","0","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:24.6005639"
"宝宝网页","PLUS会员","star5","京东物流一如既往的快，下单第二天就到货了，挑了很久，经朋友介绍给我推荐了这款，大小很合适，可以手机操作很方便，睡眠模式几乎是静音状态。自动模式机子检测空气质量自动切换风速，使用起来很方便。有喜欢的朋友们赶紧下手吧，值得推荐，性价比不错，一次愉快的购物。家人都很满意。。。","2019-07-08 11:58","1","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:24.6587773"
"z不好玩","PLUS会员","star5","净化器已收到，东西质量无可挑剔。很赞，打开包装箱一点气味都没有，晚上打开睡眠模式基本没声音。超级喜欢小米有品生态链，现在东西都上京东选购，感谢小米为国人带来好的东西。还要点赞京东快递直接送货到家里，谢谢小哥","2019-09-05 09:29","0","0",,,,"https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:24.7196148"
"路***周","PLUS会员","star5","外表设计很好看，空气质量确实能感觉到优化，炒菜和房间有人吸烟时更加明显","2019-02-02 17:23","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:24.7784592"
"j***玩","PLUS会员","star5","相当?B，本来烟味很重，一顿饭时间，基本沒了。在边上吸烟，一会就识别到并自动高速运转。很满意！","2019-02-20 15:05","0","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:24.8482697"
"b***3","PLUS会员","star5","小米的净化器性价比高，简约的设计，双十二便宜实惠，感觉空气好了，运行的声音特别小，睡觉质量好了。","2018-12-18 15:17","0","2",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:24.9101048"
"卡尼吉瓦","PLUS会员","star5","大！威力大！体积大！MAX出场，还有谁！必须要好好夸夸小米这一代的空气净化器，左右两边的滤芯超大！包装箱也是大！","2019-04-10 19:47","0","0",,,"小米净化器MAX                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:40.1436650"
"jd_131601omj",,"star5","外观很符合大众审美要求。简洁大方又不工人形体美。功能够用不哆嗦。智能化，超静音。喜欢！","2019-07-05 11:12","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:40.2105228"
"c***c",,"star5","首先说，声音真的很小，睡眠模式基本听不到声音，那些说声音大的真不知道是什么原因，样式时尚，联网快，手机控制也很方便，试了一下机器，PM2.5下降的速度还是很快的，总体感觉非常好","2018-08-26 17:40","0","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:40.2663392"
"jd_971994874",,"star5","觉得还可以，目前没什么问题，外观简洁大方，很喜欢白色，非常干净，喜欢！就是觉得要是再小巧点就更完美了！","2019-02-21 08:47","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:40.3182379"
"j***8","PLUS会员","star5","小米的空气净化器，做工确实很好，做工精良，设计的也很优美，而且性价比特别高，京东的快递也是特别的快，当天就收到了，希望小米越做越好，京东越做越好。","2019-05-11 11:51","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:40.3680663"
"I***丰",,"star5","刚来北京特别不适应这边的空气，使用了这个空气净化器之后明显感觉鼻子通畅了很多！连接手机直接使用手机控制，小米做的东西越来越符合用户需求了","2019-09-30 09:42","0","0",,,"【新品】米家空气净化器3                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:40.4239212"
"j***1","PLUS会员","star5","在最合适的价格买到它真的是不错，很静音，个人喜好模式手机控制风量净化速度快，wifi功能，随时控制","2018-12-24 22:50","0","0","[购买23天后追评]","挺好的，挺好的，挺好的","小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:40.4807647"
"猪***乐","PLUS会员","star5","送货快，上午买下午到，快捷方便，这款机器外观简约时尚，连上App可以远程控制，很方便.","2019-08-16 23:35","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:40.5326264"
"zemila","PLUS会员","star5","很好啊，个头小不占地，睡眠模式超级静音，基本听不到声音，放在孩子房间很合适。","2019-10-09 10:58","0","0",,,"小米经典净化器                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:40.5924668"
"很***噜",,"star5","已经连上米家app了，使用方便，显示清晰，声音很轻，外观精美，京东物流那叫一个快，总之，非常满意的购物体验。","2019-02-23 21:53","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:40.6629062"
"噜***9","PLUS会员","star5","感觉很好，简约时尚，过滤效果也可以，滤芯也容易换，晚上睡眠模式也很安静","2019-02-06 21:57","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:55.8560430"
"j***u","PLUS会员","star5","速度快，东西好，买小米来改无雾加湿器用的，开空调很干燥，冒烟的加湿器没什么效果，朋友推荐买了米兽的加湿器，配套起来用，成了净化加湿一体机，比飞利浦*的加湿器好用。出风口PM2.5保持在0-1，办公室一直保持在55-60%左右的湿度，非常舒适，对二手烟，装修的味道，也有点作用。价格优惠，又有发票！","2018-07-30 16:55","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:55.9189260"
"科***弹",,"star5","开了小半个时辰，便觉得房间空气比较干净了，漂浮的尘埃也不见了，又可用手机操控，非常方便，感觉买对了。","2019-02-12 18:56","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:55.9757740"
"f***0",,"star5","买家电一直都选京东，物流快，送货上门，质量有保障，看中了小米净化器的颜值，性价比也很高，体积小，换滤芯也便宜，支持国产，希望小米做的越来越好！","2019-01-02 16:46","0","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:56.0346767"
"x***2","PLUS会员","star5","毕竟小米的价格优势摆在上面，小米宣传做得很好，也为了满足人们日常的需求，走低端路线也赢得了一大用户的好感。但如果真的很细节得去探究这个空气净化器怎么样，那只能说价格优势的优点已经让人快忽略他的净化功能。他的整机价格也不过是Blueair、IQAir这种高端净化器的滤芯的一个价格，可想而知也不能对他的净化期望值过高。如果你的预算很少，那小米净化器绝对是一个很好的选择，毕竟确实还是有净化功能存在不能否定。如果预算宽裕，建议购买IQAir这种老牌的空气净化器，他的HEPA滤芯为医用级别，性能十分稳定。","2019-08-15 08:00","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:56.0994429"
"王***3",,"star5","刚收到非常不错，抽了一只烟到了四百多，不到五分钟到了最低值，米家的东西确实不错，开的自动模式，这个比较方便","2019-02-15 10:55","0","0","[购买1天后追评]",,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:56.1562904"
"jd_158508xgc","PLUS会员[试用]","star5","外形设计：好看净化效果：很好噪音大小：很小安装服务：免安满意","2019-10-02 14:40","0","0",,,"米家空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:56.2141400"
"号***龙","PLUS会员","star5","非常好用，超静音，晚上睡觉没有任何声音，而且好像还有风扇功能，总之非常好，支持京东","2019-06-10 11:42","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:56.2759696"
"异***生","PLUS会员","star5","一次性买了两台，放在办公室用的，净化烟还好，异味去不掉。有自动 最爱 睡眠三种模式，风扇声音很小。性价比高。","2019-01-25 14:04","1","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:56.3328600"
"阿***了","PLUS会员","star5","很不错，不知道有没有用小米的东西，感觉质量真的不错，智能挺强的。","2019-04-16 11:11","0","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:55:56.4001881"
"A***D","PLUS会员","star5","运行很安静，室内空气质量本来就很好了……风扇声音很小，机器做工挺好的","2019-07-24 12:38","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:11.5903843"
"x***5","PLUS会员","star5","京东快递真的是神速！早上下单下午就到了！绝对好评！这块屏幕很有未来感啊！噪音也很小几乎听不见，能实时显示pm2.5的功能确实挺牛#！好评好评！","2018-12-18 21:53","0","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:11.6517322"
"京***旺",,"star5","小米的东西很就是美观，试了试效果也不错，老婆一做饭，数值就上来了，风量也随即强劲，很赞?","2019-01-16 12:17","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:11.7265341"
"彩***5","PLUS会员","star5","新房装修买了个小米空气净化器，期待能有好的效果！目前满意！外观漂亮，性价比高！下载米家可以手机语音控制，非常方便！","2019-05-15 20:26","0","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:11.8571830"
"m***g","PLUS会员","star5","用过一段时间了才来评价的，真实感受，感觉性价比特别高，操作也很简单，风扇转的声音很小，晚上睡觉的时候也不会觉得吵希望滤芯坚持的时间久一点，坐标@","2018-07-09 10:06","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:11.9589134"
"暮***风","PLUS会员","star5","送货速度超快，开机不用安装很方便。指数高了自动转换模式高速净化，低于30开始低速运转几乎没声音。放做饭或者有抽烟的时候探测的也很敏感，还没试app操作。满意","2018-12-06 22:23","0","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:12.0466769"
"LynX二蛋","PLUS会员","star5","开机试了一下，一点声音也没有，一度以为没开机成功，真的很静音，也比想象中的大和家里椅子一样高了，还不错的东西","2019-06-07 17:45","0","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:12.1234705"
"k***0","PLUS会员","star5","声音不算大，夜里睡觉开着也不影响。用米家控制很方便。样式简洁大方，摆在家里很好看。","2018-12-18 23:40","0","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:12.2082453"
"j***9","PLUS会员","star5","清洁很快，噪音可以接受，最近天气潮湿严重，有味道，有了这个舒服多了","2019-07-22 14:22","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:12.2920210"
"洋***儿","PLUS会员","star5","小米的空气净化器，如果那个，最爱的话，他那个，就非常的大，噪音的话，睡眠和一个自适应的话基本上，噪音不是特别大，基本上可以接受。","2018-07-09 12:10","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:12.3767944"
"jd_158255lbl",,"star5","因为搬到新的地方和新的办公场所，所以买来一个试试，发现真的很好用，最爱大风模式，睡眠模式也真的超级好，很安静，没有嘈杂音???","2019-03-27 08:07","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:27.5726444"
"C***j",,"star5","声音很小，几乎是没声音。买完了这几天天气特别好，所以还没有什么太大的感觉。空气质量都还不错。习惯好评","2019-01-24 14:06","0","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:27.6314862"
"j***2","PLUS会员","star5","京东快递还是给力啊，特别快，操作也很简单，关上窗户，一会空气质量就变好了，用手机操作简单方便，喜欢?","2019-06-24 12:12","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:27.6813527"
"朵***某",,"star5","特意用了几天才评价的，性价比高。简单大方，很满意，买之前犹豫了半天，怕噪音太大，睡觉吵到。后来觉得听别人说，不如自己试试，买回来发现只有在空气非常不好的情况下，机器声音会比较大，日常模式不会吵，还有睡眠模式时几乎没有声音的。我觉得很赞！外观颜值也很高，卧室用足够！","2019-01-13 12:45","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:27.7352450"
"N***e","PLUS会员","star5","噪音非常小。方便控制，可以远程通过米家来控制开关，使用很方便，环保效果待验证。","2019-09-21 19:47","0","0",,,,"https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:27.7990380"
"L***者","PLUS会员","star5","之前一直在犹豫是买pro还是max,看着数据 最后选择了max;一直听店里人说max很大,但是没有现货,也没有见到,收到货的时候,惊讶了,非常大;声音不大,相对安静,放在客厅能接受;大白,很好看;看数据效果是很明显,功能使用简单;好的话，父母家应该还会买一台","2019-07-23 11:14","0","0",,,"小米净化器MAX                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:27.8499019"
"L***-",,"star5","超快就到了，实体店看中后马上来买。房间里空气好了很多，呼吸都顺畅了，睡觉也很舒服，没声音。","2019-03-02 00:18","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:27.9087619"
"8***8",,"star5","用了一天来评价，买这个净化器是用来放卧室的，对净化的要求不是特别高，所以小米这款净化器还是性价比很高的，滤芯是H11级别，尺寸小巧，重量较轻，搬动很方便，外观简约美观，新款增加了激光探测器，精度肯定比前一代提升了很多，滤芯也增加了射频识别，不用手动重置滤芯寿命了，这方面也有了提升，滤芯耗材比较便宜，夜晚听不到噪音，连接小米米家APP，管理超级方便～家里已经买了很多小米设备了，已经初步实现了家庭智能化","2017-11-22 14:58","43","9",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:27.9696852"
"蜂客888","PLUS会员","star5","配送很快，入手体验后还不错，对比其他品牌，性价比还是不错得，小米的白色简约风，颜值清新好看，开机很快，有自动/睡眠模式，冬天房间除霾就靠它了，卧室20-40平米够用了，可以连接无线，但是操作了半天都无法连上，索性直接删除手机的APP！！！","2018-12-06 17:28","1","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:28.0240473"
"m***u","PLUS会员","star5","家里都是用小米空气净化器，之前空气不好时，净化器显示屏显示红色圈圈，数字蹦到150多。今天下雨了，空气非常好，才不到10。小米空气净化器算是性价比最高的空气净化器了。能够定时和手机遥控，很多大牌净化器都做不到。","2019-02-18 23:47","0","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:28.0858824"
"jd_151995eeh","PLUS会员","star5","静音效果好，简单大方，外观看着很时尚，有几种净化模式可以调节，温度湿度也能显示，物流也很快，晚上下的单，第二天一早就送到了，一直相信京东自营产品，使用一段时间后再追评，一次非常不错的购物体验，希望使用一段时间可以达到很好的净化空气效果。","2019-09-17 16:26","0","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:43.2744182"
"songshuai0ect",,"star5","小米这款空气净化器，净化面积大，还智能，高大上，大小正合适，好用，家人喜欢，京东快递小哥，就是那么快。","2019-07-06 16:35","0","0",,,"小米净化器MAX                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:43.3323004"
"魔都小刀客",,"star5","外形设计：满分噪音大小：几乎静音小米的东西的确设计很强，技术也过硬。挺喜欢的。至于效果代使用一段时间再来评价","2019-09-20 17:16","0","0",,,,"https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:43.3881152"
"洣蘭君","PLUS会员","star5","有了这款空气净化器，房间里面的空气质量就有了保障，而且可以自动识别空气质量调节过滤功效，让人比较安心！小米一直在做良心产品，这款设备外观简洁大方，而且价格很实惠，性价比超级高！京东搞活动，物流速度非常快，还送货上门，以后有需要还来京东买！","2019-08-18 21:55","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:56:43.4379816"
